학교,학과,모집인원,지원인원,경쟁률,최종추합번호,환산점수평균,환산점수(70%),평균등급,등급(70%)
부산대,국어국문학과,11,97,8.82,6번,97.69,97.45,3.5,3.75
부산대,중어중문학과,11,135,12.27,9번,98.37,98.25,2.96,3.03
부산대,일어일문학과,10,99,9.9,0번,97.71,97.97,3.4,3.16
부산대,영어영문학과,15,277,18.47,14번,98.49,98.27,2.89,3.09
부산대,불어불문학과,9,91,10.11,0번,94.99,97.89,4.07,3.66
부산대,독어독문학과,16,179,11.19,7번,97.09,97.3,3.95,3.89
부산대,노어노문학과,10,103,10.3,5번,94.9,97.39,3.87,3.92
부산대,한문학과,6,92,15.33,3번,98.06,98.01,3.29,3.34
부산대,언어정보학과,8,87,10.88,4번,98.13,98.08,3.27,3.31
부산대,사학과,8,87,10.88,9번,98.49,98.52,2.92,2.85
부산대,철학과,7,104,14.86,9번,97.99,97.89,3.36,3.55
부산대,고고학과,7,151,21.57,4번,97.58,97.46,3.78,3.88
부산대,행정학과,12,244,20.33,12번,99.1,99.02,2.29,2.36
부산대,정치외교학과,11,130,11.82,14번,98.93,98.86,2.51,2.54
부산대,사회복지학과,10,103,10.3,8번,98.31,98.08,3.04,3.25
부산대,사회학과,11,128,11.64,16번,98.17,98.03,3.21,3.43
부산대,심리학과,10,197,19.7,8번,98.89,98.67,2.5,2.75
부산대,문헌정보학과,9,99,11,10번,98.83,98.74,2.61,2.71
부산대,미디어커뮤니케이션학과,11,155,14.09,12번,99.11,99.02,2.3,2.45
부산대,수학과,11,133,12.09,16번,98.84,98.75,2.64,2.65
부산대,통계학과,11,96,8.73,11번,98.71,98.6,2.78,2.83
부산대,물리학과,12,129,10.75,16번,98.16,97.99,3.43,3.65
부산대,화학과,11,107,9.73,6번,99.19,99.06,2.28,2.4
부산대,생명과학과,12,131,10.92,10번,99.23,99.08,2.25,2.5
부산대,미생물학과,10,171,17.1,11번,98.54,98.48,2.9,2.98
부산대,분자생물학과,8,104,13,8번,98.8,98.69,2.68,2.65
부산대,지질환경과학과,10,153,15.3,6번,97.92,97.87,3.62,3.68
부산대,대기환경과학과,7,111,15.86,3번,98.64,98.64,2.81,2.86
부산대,해양학과,12,164,13.67,3번,98.09,97.88,3.37,3.53
부산대,기계공학부,70,879,12.56,77번,99.37,99.25,2.13,2.26
부산대,고분자공학과,10,193,19.3,11번,99.19,99.06,2.34,2.42
부산대,유기소재시스템공학과,13,161,12.38,14번,98.87,98.74,2.67,2.86
부산대,화공생명.환경공학부(화공생명공학전공),13,203,15.62,17번,99.85,99.79,1.61,1.69
부산대,화공생명.환경공학부(환경공학전공),11,154,14,5번,99.04,98.96,2.43,2.54
부산대,재료공학부,18,211,11.72,15번,99.1,98.99,2.46,2.55
부산대,전자공학과,18,261,14.5,36번,99.54,99.45,1.93,1.96
부산대,전기공학과,14,321,22.93,18번,99.27,99.22,2.22,2.3
부산대,건설융합학부(건축공학전공),9,141,15.67,3번,98.58,98.5,2.98,2.92
부산대,건설융합학부(건축학전공),8,160,20,11번,98.66,98.48,2.82,2.98
부산대,건설융합학부(도시공학전공),9,132,14.67,2번,98.28,98.05,3.23,3.3
부산대,건설융합학부(토목공학전공),12,239,19.92,16번,98.29,98.17,3.26,3.4
부산대,항공우주공학과,13,190,14.62,16번,98.85,98.72,2.62,2.72
부산대,산업공학과,13,168,12.92,11번,98.83,98.66,2.61,2.74
부산대,조선해양공학과,19,281,14.79,8번,98.25,98.17,3.21,3.27
부산대,국어교육과,8,75,9.38,20번,98.83,98.81,2.66,2.84
부산대,영어교육과,8,76,9.5,10번,99.49,99.52,1.92,1.93
부산대,독어교육과,9,68,7.56,9번,98.07,97.95,3.3,3.37
부산대,교육학과,3,25,8.33,1번,99.04,99.1,2.4,2.41
부산대,유아교육과,6,81,13.5,1번,99.08,98.96,2.39,2.55
부산대,특수교육과,6,45,7.5,1번,98.32,98.16,3.05,3.38
부산대,일반사회교육과,8,71,8.88,11번,98.71,99,2.67,2.47
부산대,역사교육과,4,35,8.75,6번,98.95,98.92,2.49,2.49
부산대,지리교육과,6,54,9,13번,98.98,98.8,2.43,2.65
부산대,윤리교육과,8,76,9.5,14번,99.14,99.03,2.32,2.36
부산대,수학교육과,8,107,13.38,9번,99.51,99.5,1.95,1.94
부산대,화학교육과,5,52,10.4,12번,98.97,99.11,2.52,2.32
부산대,생물교육과,7,105,15,7번,99.23,99.11,2.23,2.36
부산대,지구과학교육과,5,122,24.4,9번,98.92,98.79,2.46,2.56
부산대,경영학과,50,666,13.32,40번,99.05,98.8,2.36,2.56
부산대,무역학부,25,293,11.72,23번,99.09,99.02,2.36,2.48
부산대,경제학부,22,280,12.73,33번,99.13,98.96,2.3,2.5
부산대,관광컨벤션학과,4,51,12.75,0번,98.93,98.93,2.59,2.61
부산대,공공정책학부,5,50,10,7번,99.15,99.11,2.27,2.35
부산대,간호학과,5,85,17,3번,99.53,99.58,1.9,1.89
부산대,아동가족학과,7,71,10.14,5번,98.13,97.83,3.32,3.6
부산대,의류학과,8,126,15.75,3번,98.18,97.76,3.21,3.41
부산대,식품영양학과,12,100,8.33,17번,98.78,98.57,2.65,2.63
부산대,실내환경디자인학과,6,99,16.5,7번,98.35,98.35,3.05,3.07
부산대,디자인학과(디자인앤테크놀로지전공),6,59,9.83,3번,98.91,99.03,2.58,2.49
부산대,예술문화영상학과,5,57,11.4,3번,98.91,98.98,2.62,2.59
부산대,식물생명과학과,4,41,10.25,4번,97.87,97.88,3.37,3.43
부산대,원예생명과학과,8,74,9.25,10번,95.88,95.47,4.7,4.93
부산대,동물생명자원과학과,6,131,21.83,10번,97.4,96.92,4.05,4.45
부산대,식품공학과,5,40,8,10번,92.88,96.91,5.06,4.27
부산대,생명환경화학과,6,86,14.33,16번,97.79,97.94,3.59,3.58
부산대,바이오소재과학과,6,61,10.17,12번,97.78,97.71,3.68,3.78
부산대,바이오산업기계공학과,5,51,10.2,3번,98.01,98,3.5,3.6
부산대,IT응용공학과,5,71,14.2,6번,98.5,98.46,3.13,3.05
부산대,바이오환경에너지학과,7,74,10.57,11번,96.73,96.97,4.27,4.25
부산대,조경학과,11,94,8.55,12번,96.59,96.52,4.41,4.58
부산대,식품자원경제학과,7,60,8.57,1번,97.55,97.93,3.87,3.44
부산대,광메카트로닉스공학과,7,103,14.71,4번,98.61,98.48,2.87,3.02
부산대,나노에너지공학과,12,244,20.33,3번,98.3,98.15,3.14,3.3
부산대,나노메카트로닉스공학과,8,117,14.63,6번,98.58,98.61,2.79,2.8
부산대,스포츠과학부,10,116,11.6,1번,97.33,97.56,3.66,3.46
부산대,의예과,15,353,23.53,19번,100.45,100.43,1.05,1.06
부산대,한의학전문대학원(학ㆍ석사통합과정),5,213,42.6,6번,100.06,100.02,1.47,1.46
부산대,정보컴퓨터공학부,17,619,36.41,25번,99.5,99.34,2.01,2.12
부산대,의생명융합공학부,14,221,15.79,10번,99.11,98.96,2.34,2.41
